text	time	political_position
"Get rid of stepped up basis which allows billionaires to leave money to their heirs tax-free, from generation to generation, creating dynastic super wealth.
Get rid of the widespread and pervasive abuse of  501 (c) (3) and 501 (c) (4) tax exemptions for so-called churches, and billionaire lobbyists."	2026-06-09 22:21	
Get rid of the cap and tax the rich	2026-06-09 22:21	
Thanks to trump	2026-06-09 22:25	
"All the immigrants that Trump is locking up were paying into social security most never to collect. Meanwhile Trump and his cronies are robbing citizens of their hard earned taxes while Trump, his family and his businesses can never be held accountable for his tax evasion crimes!

Like never before!"	2026-06-09 22:29	
It’s going to be the same in Britland. I’m old and I benefit from this Ponzi scheme. The young are suffering for my benefit and it is wrong. All benefits including pensions should be means tested.	2026-06-09 22:34	
Unless blue wins 2028 POTUS elections.	2026-06-09 22:48	
After that we hunt and eat the rich.	2026-06-09 22:48	
Tax cuts for seniors?  Ya, that’s the reason.  🖕you!	2026-06-09 22:52	
"Nothing but winning under #Trump.
Of course the fuckface will probably be dead by then, and couldn't care less.
Thanks MAGA!"	2026-06-09 22:56	
Any GenXrs remember during the Reagan years the critics of his tax cuts were telling us “we’re selling out our children and grandchildren & they’ll be the ones to pay for it?”.	2026-06-09 23:06	
There is absolutely nothing stopping the government from issuing SS payments regardless the balance of the trust fund - just like several of the other SS programs.	2026-06-09 23:08	
Guess its time to raise the limit on annual earnings from 180k to infinity.	2026-06-09 23:13	
GOOD! I always knew us millennials were screwed, but I hope this depletes in time for all boomers to suffer and suffer hard, maybe few won't see how to survive and use the 2nd amendment right for good this time and remove them from the check mailing list.	2026-06-09 23:14	
Aubrey plaza is a comedian who has been spoiled since childhood. She is comedian who wants to be in charge but she is rude, lazy and doesn't care about the end product. She likes to make sure the standards are always low by complaining about overachievers.	2026-06-09 23:15	
All part of the gop’s plan. Next they will propose to “save” it by privatizing it	2026-06-09 23:18	
Not if you lift the cap!!	2026-06-09 23:26	
"Tax cuts for seniors? Tax cuts for senior billionaires is more like it. 

Remove the ceiling for paying into the SS fund and all of its funding problems melt away."	2026-06-09 23:30	
I want my money back then. I've been paying all my life, since I was 16. 2032 is around my retirement age. So they are just going to say nope, sorry. F that.	2026-06-09 23:34	
"Easy fix - subject all income to FICA tax. No cap on income subject to social security tax.

Problem solved."	2026-06-09 23:34	
Here it comes…smh	2026-06-09 23:37	
The find does not run dry under this scenario. It starts to deplete the principal at that point. That’s terrible but WaPo can’t write an accurate headline if Bezos’ life depended on it.	2026-06-09 23:40	
Haha , nothing will make me chuckle more than to watch greedy boomers lose it all. Fk them.	2026-06-09 23:41	
Are we great again yet?	2026-06-09 23:45	
end the cut-off	2026-06-09 23:50	
If they take back what this admin and the oligarchs and big oil have stolen. There would because for 100 years.	2026-06-09 23:51	
It wasn’t the tax cuts for seniors. It was the tax cuts for millionaires and billionaires.	2026-06-09 23:56	
"Time for Congress to return the money, Ronnie the Senile and Dubya the Dumb, looted for OUR SOCIAL SECURITY FUND!

It's our money, the Federal Govt is supposed to be holding it for us. We've been forced to pay into this Fund, every payday. 

Tax the Rich until there are no Poor.

#EndCitizensUnited"	2026-06-09 23:56	
