text	time	political_position
"They need to go somewhere.
Hegseth doesn’t want them in the military anymore."	2026-06-09 20:22	
Democracy will begin to work in the US & the World when there is an empowered comprehensive peace building policy of: cooperation, clean energy investment, human rights advocacy, sustainable development and species conservation. Currently, all of America is about the juvenile 'us versus them'.	2026-06-09 20:25	
GREAT!!	2026-06-09 20:27	
Thanks to all of them 🙏	2026-06-09 20:35	
Soldiers know the pain of war and will avoid it at all costs. (Unless they are paid off by the military-industrial complex).	2026-06-09 20:46	
#VoteBlueToSaveAmerica #VoteBlueToSaveDemocracy #BlueTsunami #GOTV	2026-06-09 20:52	
"EVERY DEM RUNNING 
SHOULD READ AND SHARE..."	2026-06-09 20:56	
Maybe we could get to a place where don't assume that having worked in a military job gives someone special powers? Maybe we should ask them what their positions are on specific human rights questions. Maybe we should see if we can find some policy or subject matter experts to vote for.	2026-06-09 20:59	
Aubrey Plaza is a racist islamaphobe. She hates muslims and has used numerous slurs. She has said the n word	2026-06-09 20:59	
"VOTE
GOP
OUT"	2026-06-09 21:02	
Good luck all!	2026-06-09 21:03	
"(applause 👏🏻!!!)
Women can pull us out of this Despicable Political Spiral we are in!"	2026-06-09 21:09	
This applies to the Senate also and all government positions including State and Local...	2026-06-09 21:26	
No one over 60 belongs in politics anymore. #Takeawaythekeys	2026-06-09 21:30	
Well we got the right candidates. Let’s go!	2026-06-09 21:30	
I’m glad to hear about the military backgrounds. This TV show BS is nonsense.	2026-06-09 21:30	
Excellent!	2026-06-09 21:45	
I think we all have become aware that Men Are far too emotional to lead. I am 100% ready for a change!	2026-06-09 21:45	
If they had run in 2024 we may not have been in this mess	2026-06-09 21:46	
Perhaps report on the soldiers lack of food and burn pit fumes those stationed on land in the Middle East are enduring.	2026-06-09 21:54	
We prefer people who have already taken an oath to serve and protect!	2026-06-09 22:14	
This is good. So again I will ask, why isn't there a woman in one of the top three positions of party leadership? We have Schumer, Jeffries and Martin instead.	2026-06-09 22:15	
You'd think their politics were more important than their military service.	2026-06-09 22:16	
Only an American would think a military candidate was a good thing.	2026-06-09 22:18	
Wish I could vote for Graham Platner in Maine. Terrific new Dem voice!	2026-06-09 22:19	
Gosh. It’s almost as though they knew what they were fighting to defend and see an urgent need to continue defending those things now that they’re back home!❗️	2026-06-09 22:20	
Well, from endless wars, we get endless veterans, motivated to serve.	2026-06-09 22:22	
Actual Patriots 💪💪💪	2026-06-09 22:29	
Ya!	2026-06-09 22:37	
And in the meantime, the GOP:	2026-06-09 22:41	
IMO, these are exactly the leaders we need more of. Experienced, serious, female.	2026-06-09 22:53	
"Beware the Tulsi Gabbards among them!
Woman, veteran, ran as a Democrat and look how that turned out.  

Support and Vote for progressive women (and men) - not any DINOs."	2026-06-09 22:59	
Better a vet than a Donny Bonespurs	2026-06-09 23:00	
This is as it should be. You should have experienced war before you send people’s kids to war, somebody’s spouse, somebody’s aunt or uncle, brother or sister, niece or nephew to war.  Oh and, yeah, a Congress that uses their power to stop stupid presidents from starting an illegal war.	2026-06-09 23:02	
