text	time	political_position
What the fuck is your problem?	2026-02-20 22:10	
This aint it, lady	2026-02-20 22:11	
Love the folksy cable knit sweater, nice touch.  How much?	2026-02-20 22:12	
As a sea lion myself intake serious issue with this insane idea	2026-02-20 22:12	
They have no option but eating fish. Don't blame sea lions.	2026-02-20 22:13	
The dumbest people keep getting elected	2026-02-20 22:14	
You’re scum	2026-02-20 22:16	
Sea lions > Marie Gluesenkamp Perez	2026-02-20 22:17	
You put your photos with Clark Cowlitz Fire Rescue in your post about murdering sea lions, and not in your post about visiting Clark Cowlitz Fire Rescue. It’s like even your social media intern has abandoned you, or you were tweaking so hard you lost focus or something.	2026-02-20 22:26	
So you’re in favor of slaughtering both animals and humans now. Got it. Just pure complicit evil at this point. Can’t wait to see what kind of murder you commit to next!	2026-02-20 22:26	
I dont know the right answer about sea lions, but the photos of the hearing show a very white audience: are the voices of indigenous people--whose very existence is based on the salmon--being being heard by you on this issue?	2026-02-20 22:27	
Speaking of corolla sized vermin…	2026-02-20 22:28	
Is it hard being the absolute worst? The fish are not ours. The sea lions have been snacking on salmon since before humans set foot on North America. And we're all better off in a world with healthy biodiversity.	2026-02-20 22:29	
It's their fish.	2026-02-20 22:30	
You’re literally the next Krysten Sinema.	2026-02-20 22:33	
It's not the sea lions it's the climate change and over fishing of the stock. Good luck though.	2026-02-20 22:34	
Sucks to suck	2026-02-20 22:38	
Hey! you should resign in disgrace	2026-02-20 22:39	
no	2026-02-20 22:50	
what are the fishermen doing?	2026-02-20 22:50	
The sea lions were there first and it's actually the fishermen that are decimating the sea lions' natural food source.	2026-02-20 22:54	
Are you able to think past your nose	2026-02-20 22:57	
brenthennrich.com	2026-02-20 22:58	
No surprise that Mary Concentrationcamp Perez is still on her pinniped genocide campaign	2026-02-20 23:02	
One might have expected a Reed graduate to have done the reading.	2026-02-20 23:09	
this you?	2026-02-20 23:11	
"Sea Lions are a problem for that salmon run specifically because the Dam is an obstacle to moving quickly up the river.

The dam isn’t going anywhere, so the sea lions are going to get hosed instead.

They aren’t vermin tho. They are where they are supposed to be, doing what they are meant to do."	2026-02-20 23:17	
Are these the assholes that have been secretly shooting the sea lions?	2026-02-20 23:20	
"Wild animals are eating the natural prey they have eaten for thousands of years, and now you just dismiss their right to exist.

Looking forward to you being voted out of office."	2026-02-20 23:30	
"Crazy to think your 3 most notable positions now are:

- Block student loan reform
- Funding ICE
- Killing seals"	2026-02-20 23:34	
"Ladies and Gentlemen: Meet one of the most vulnerable, unlikable, and disappointing members of Congress.  MGP is the ""Fetterman"" of the PNW."	2026-02-20 23:47	
Have you talked to the sea lions about the mediocre white man cry babies who have decimated our salmon and steelhead runs?	2026-02-20 23:55	
"When white people think they know how to care for land, water, fishing better than Native Americans, youre wasting time, energy, and sea lion life.
You should research history of rivers & salmon in our region instead of whatever 'this' is."	2026-02-21 00:02	
You're insane.	2026-02-21 00:06	
