text	time	political_position
You’re being awful hard on a guy who seriously couldn’t find Iran on a map.	2026-06-16 15:19	
what does all that blue on a map mean again?	2026-06-16 15:20	
Well, you know, most Americans and geography are a story unto themselves. Their brains are already full after memorizing all 50 states and their capitals.	2026-06-16 15:23	
Rubio signed on to take orders from this buffoon.	2026-06-16 15:24	
The sad part is that this level of ignorance is treated like a badge of honor by the MAGA party.	2026-06-16 15:25	
"I would resubscribe my cancelled Paramount + if they would carry the live video feed of trump attempting to walk across the Persian Gulf.

Preferably with underwater cams. With sound."	2026-06-16 15:25	
Snicker snicker.	2026-06-16 15:26	
Like Jesus....	2026-06-16 15:27	
#DumbDangerousDonald	2026-06-16 15:27	
And Marco just sits there like the Putz that he is	2026-06-16 15:27	
It's nothing, he's just confusing Qatar with Pakistan.	2026-06-16 15:31	
Rubio’s shoes, too large for his ankle size..but anything to please the cult leader as he spews geographical inanities to the very people who live in the region.	2026-06-16 15:32	
More every day he sounds like a 5-year-old who came home from kindergarten with new-found knowledge to share.	2026-06-16 15:33	
"You forget that Donald Trump is Jesus.

HE can walk from Qatar to Iran."	2026-06-16 15:33	
What a disgrace on the world's stage 😒	2026-06-16 15:35	
Trump's been known to compare himself to Jesus	2026-06-16 15:36	
The buffoon in chief is at his best embarrassing the USA	2026-06-16 15:37	
Stay in school kids.	2026-06-16 15:37	
"#trumpepstein sounds like shit

His schmoozing is just a way to cover up not doing any work. Just bullshit thru it. What’s the worst that could happen?"	2026-06-16 15:37	
"If someone could get Trump to walk from Qatar to Iran, the world be be most grateful.

Ta."	2026-06-16 15:38	
Iraq would like a word.	2026-06-16 15:42	
What is on the Qatari leader‘s sock?	2026-06-16 15:43	
Is he confusing Qatar and Kuwait? Obviously Kuwait isn't a 45 minute walk but it's the only country he could possibly mean, right?	2026-06-16 15:43	
