text	time	political_position
Contrary to trump’s lie about The California election, Pratt was never in first place and never had much of a chance in to stay in second place. Trump is ramping ip his election lies because he knows Republicans will take a beating in November because of his policies and their cowardice	2026-06-09 11:20	
Since Pratt promised to leave LA, maybe there’s room for him at Mar-a-Lardo.	2026-06-09 11:49	
Pratt beaten... by two women.	2026-06-09 11:51	
Bye Felicia 👋👋👋	2026-06-09 11:55	
End hate, end Zionism.	2026-06-09 12:08	
Tho I’m glad he’s out, it’s scary that 25% of the voters chose him 😵‍💫	2026-06-09 12:18	
He tried and I give him credit for that!	2026-06-09 12:24	
"He should be thrilled. That's .7% more votes than the total number of registered Republicans in Los Angeles.
Looks fishy to me."	2026-06-09 12:24	
Good. Pratt sucks ass.	2026-06-09 12:26	
Hit the road, Jack!	2026-06-09 12:29	
LOL! Proves people are tired of jellyfish backed fools and billionaires who spent big bucks on that nutcase.	2026-06-09 12:34	
He’s got his rich martyr look on his stupid face.	2026-06-09 12:41	
I love this for him!	2026-06-09 12:46	
All the kings men couldn’t prop up Trump’s favorite new Humpty Dumpster candidate.	2026-06-09 12:50	
Who is this guy?  I mean really he’s a nobody a D lister.  Crybaby.	2026-06-09 12:58	
Bet he cries, calls out rigged, all that childish GOP bullshit.	2026-06-09 13:01	
"He got 25%?? What the hell is going on over there, LA? 
Maybe try a 'no more reality tv stars as leaders' policy?"	2026-06-09 13:03	
25.8 % of Californians need to lay off the pipe or gummies! Full stop! Period! IMO!	2026-06-09 13:05	
Say bye piggy.	2026-06-09 13:06	
It's rigged ayyyy	2026-06-09 13:15	
